question,translation,GPT-Score,Google Translate,Score,ChatGPT (no schema),Score
"Find the average age of the members in the club ""Bootup Baltimore"".","ابحث عن المتوسط العمري لأعضاء نادي ""Bootup Baltimore"".",,,,,
"Find the average age of members of the club ""Hopkins Student Enterprises"".","ابحث عن المتوسط العمري لأعضاء نادي ""Hopkins Student Enterprises"".",,,,,
"On average, how old are the members in the club ""Hopkins Student Enterprises""?","في المتوسط، كم هو عمر أعضاء نادي ""Hopkins Student Enterprises""؟",,,,,
"Retrieve the average age of members of the club ""Tennis Club"".","استرجع المتوسط العمري لأعضاء نادي ""Tennis Club"".",,,,,
"Compute the average age of the members in the club ""Tennis Club"".","حسب المتوسط، ما هو عمر أعضاء نادي ""Tennis Club""؟",,,,,
What are the distinct grant amount for the grants where the documents were sent before '1986-08-26 20:49:27' and grant were ended after '1989-03-16 18:27:16'?,ما هي المبالغ الممنوحة المميزة للمنح حيث تم إرسال المستندات قبل '1986-08-26 20:49:27' وانتهت المنحة بعد '1989-03-16 18:27:16'؟,,,,,
What are the different grant amounts for documents sent before '1986-08-26 20:49:27' and after the grant ended on '1989-03-16 18:27:16'?,ما هي مبالغ المنح المختلفة للمستندات التي تم إرسالها قبل '1986-08-26 20:49:27' وبعد انتهاء المنحة في '1989-03-16 18:27:16'؟,,,,,
List the project details of the project both producing patent and paper as outcomes.,أورد تفاصيل المشروع الذي ينتج كل من براءة اختراع وورقة كنتيجة.,,,,,
What are the details of the project that is producing both patents and papers as outcomes?,ما هي تفاصيل المشروع الذي ينتج كل من البراءات والأوراق كنتيجة؟,,,,,
What is the total grant amount of the organisations described as research?,ما هو إجمالي مبلغ المنح للمؤسسات المصنفة كبحث؟,,,,,
What is the total amount of grant money for research?,ما هو إجمالي مبلغ المنح للأبحاث؟,,,,,
List from which date and to which date these staff work: project staff of the project which hires the most staffs,عرّف من تاريخ وحتى تاريخ يعمل هؤلاء الموظفون: موظفو المشروع الذي يوظف أكبر عدد من الموظفين.,,,,,
From what date and to what date do the staff work on a project that has the most staff and has staff in a leader role?,من أي تاريخ وحتى أي تاريخ يعمل الموظفون في مشروع يحتوي على أكبر عدد من الموظفين ويحتوي على موظفين في دور قائد؟,,,,,
Find the organisation ids and details of the organisations which are involved in,ابحث عن معرفات المنظمات وتفاصيل المنظمات التي شاركت في.,,,,,
What are the ids and details for all organizations that have grants of more than 6000 dollars?,"ما هي المعرفات والتفاصيل لجميع المؤسسات التي لديها منح بأكثر من 6000 دولار؟
",,,,,
What is the organisation type and id of the organisation which has the most number of research staff?,ما هو نوع المؤسسة والمعرّف للمؤسسة التي تمتلك أكبر عدد من موظفي البحث؟,,,,,
What is the type and id of the organization that has the most research staff?,ما هو نوع ومعرّف المنظمة التي تمتلك أكبر عدد من موظفي البحث؟,,,,,
Which organisation type hires most research staff?,أي نوع من المؤسسات يوظف أكثر موظفي البحث؟,,,,,
What is the type of the organization with the most research staff?,ما هو نوع المنظمة التي تمتلك أكبر عدد من موظفي البحث؟,,,,,
Find out the send dates of the documents with the grant amount of more than 5000 were granted by organisation type described,اكتشف تواريخ إرسال المستندات التي تمنح بمبلغ أكثر من 5000 والتي تمنحها نوع المنظمة الموصوف.,,,,,
What are the send dates for all documents that have a grant amount of more than 5000 and are involved in research?,ما هي تواريخ الإرسال لجميع المستندات التي لديها مبلغ من المنح أكبر من 5000 وتشارك في البحث؟,,,,,
What are the response received dates for the documents described as 'Regular' or granted with more than 100?,ما هي تواريخ استلام الردود للمستندات الموصوفة بأنها 'عادية' أو التي تمنح بأكثر من 100 دولار؟,,,,,
What is the response received date for the document described as Regular that was granted more than 100 dollars?,ما هو تاريخ استلام الرد للمستند الموصوف بأنه عادي تمنح أكثر من 100 دولار؟,,,,,
List the project details of the projects which did not hire any staff for a researcher role.,أورد تفاصيل المشاريع التي لم توظف أي موظف لأداء دور الباحث.,,,,,
What are the details for all projects that did not hire any staff in a research role?,ما هي التفاصيل لجميع المشاريع التي لم توظف أي موظف في دور البحث؟,,,,,
"What are the task details, task id and project id for the projects which are detailed as 'omnis' or  have more than 2 outcomes?",ما هي تفاصيل المهمة ومعرف المهمة ومعرف المشروع للمشاريع المفصلة على أنها 'omnis' أو لديها أكثر من 2 نتيجة؟,,,,,
"What are the task details, task ids, and project ids for the progrects that are detailed as 'omnis' or have at least 3 outcomes?",ما هي تفاصيل المهمة ومعرف المهمة ومعرف المشروع للمشاريع المفصلة على أنها 'omnis' أو لديها على الأقل 3 نتائج؟,,,,,
"When do all the researcher role staff start to work, and when do they stop working?",متى يبدأ جميع الموظفين في دور الباحث بالعمل، ومتى يتوقفون عن العمل؟,,,,,
When did researchers start and stop working?,متى بدأ الباحثون في العمل ومتى توقفوا عن العمل؟,,,,,
How many kinds of roles are there for the staff?,كم نوعًا من الأدوار متوفرة للموظفين؟,,,,,
How many different roles are there on the project staff?,كم نوعًا مختلفًا من الأدوار لديها فريق المشروع؟,,,,,
What is the total amount of grants given by each organisations? Also list the organisation id.,ما هو المبلغ الإجمالي للمنح الممنوحة من كل المؤسسات؟ كما قم بتقديم قائمة بمعرف المؤسسة.,,,,,
What is the total amount of grant money given to each organization and what is its id?,ما هو إجمالي مبلغ المنح الممنوحة لكل منظمة وما هو معرفها؟,,,,,
